Use of Funds Descriptions,,,,,,,,,
BASIC: Mandated Improvement Activities include - Administration of surveys; Implementation of evidence-based interventions identified within the 2020-21 SCEP; Implementation of activities other than activities identified as evidence-based interventions in the 2020-21 DCIP/SCEP(s); Planning and development of 2020-2021 (only for newly identified TSI schools) and 2021-22 improvement plans; Implementation of Participatory Budgeting (PB) or one of the approved alternatives to PB in CSI Schools. ,,,,,,,,,
TARGETED SUPPORT: The funds must directly connect to established Demonstrable Improvement Indicators (DIIs) for all eligle CSI schools and established School Comprehensive Education Plan (SCEP) goals for all eligble TSI schools. The funds must support activities and expenses that will increase the likelihood of the school reaching its DIIs or SCEP goals.,,,,,,,,,
"ENHANCED: Five of the options available to schools involve participation in a Professional Learning Community and school-specific coaching organized by the Office of Accountability. These five options, referred to as “Enhanced” options, are: High School Redesign (two-year program); Enhancing Principal Leadership (two-year program); Developing a Restorative School; Instructional Coaching Consortium (ICC); Leveraging Digital Learning",,,,,,,,,
"NYSIP-PLC: Increase student achievement in New York State Title I Schools, particularly those schools identified for improvement, by encouraging greater integration by race and ethnicity, as well as socioeconomic, special education, and English language learner/Multilingual learner (ELL/MLL) status.",,,,,,,,,
Green - Target District,,,,,,,,,
Yellow - New Target District,,,,,,,,,
,,,Basic,,,,,,
BINGHAMTON CITY SD,030200010021,BINGHAMTON HIGH SCHOOL,,,"$50,000",,,,Basic
BRENTWOOD UFSD,580512030000,BRENTWOOD UNION FREE SCHOOL DISTRICT,"$50,000",,,,,,Basic
BRENTWOOD UFSD,580512030001,SOUTHWEST ELEMENTARY SCHOOL,,"$200,000",,,,,Basic
BRENTWOOD UFSD,580512030003,HEMLOCK ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
BRENTWOOD UFSD,580512030016,NORTH MIDDLE SCHOOL,,"$200,000",,,,,Basic
BRENTWOOD UFSD,580512030020,EAST MIDDLE SCHOOL,,"$200,000",,,"$10,000",,Instructional Coaching Consortium & Basic
BRENTWOOD UFSD,580512030021,SOUTH MIDDLE SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
BRIDGEHAMPTON UFSD,580909020000,BRIDGEHAMPTON UFSD,"$50,000",,,,,,Basic
BRUNSWICK CSD,490202040000,BRUNSWICK CENTRAL SCHOOL DISTRICT (BRITTONKILL),"$50,000",,,,,,Basic
BUFFALO CITY SD,140600010000,BUFFALO CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
BUFFALO CITY SD,140600010019,NATIVE AMERICAN MAGNET,,,"$50,000",,,,Basic
BUFFALO CITY SD,140600010031,HARRIET ROSS TUBMAN ACADEMY,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
BUFFALO CITY SD,140600010037,MARVA J DANIEL FUTURES PREPARATORY SCHOOL,,"$200,000",,"$150,000",,,Targeted & Basic
BUFFALO CITY SD,140600010043,LOVEJOY DISCOVERY SCHOOL #43,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
BUFFALO CITY SD,140600010082,PS 82,,$0,,,"$20,000",,Enhancing Principal Leadership Yr 1
BUFFALO CITY SD,140600010093,SOUTHSIDE ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
BUFFALO CITY SD,140600010101,BURGARD VOCATIONAL HIGH SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
BUFFALO CITY SD,140600010110,SOUTH PARK HIGH SCHOOL,,,"$50,000",,,,Basic
BUFFALO CITY SD,140600010126,STANLEY MAKOWSKI EARLY CHLDHD CTR,,,"$50,000",,,,Basic
BUFFALO CITY SD,140600010129,PFC WILLIAM J GRABIARZ #79,,,"$50,000",,,,Basic
BUFFALO CITY SD,140600010132,MATH SCIENCE TECHNOLOGY PREPARATORY SCHOOL AT SENECA (THE),,"$200,000",,,"$160,000",,HS Redesign Year 2 & Enhancing Principal Leadership Yr 2 & Basic
BUFFALO CITY SD,140600010133,ALTERNATIVE HIGH SCHOOL AT 44,,$0,,"$150,000",,,Targeted
BUFFALO CITY SD,140600010197,HARVEY AUSTIN SCHOOL #97,,"$200,000",,"$150,000",,,Targeted & Basic
CAIRO-DURHAM CSD,190301040000,CAIRO-DURHAM CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
CAIRO-DURHAM CSD,190301040001,CAIRO-DURHAM ELEMENTARY SCHOOL,,"$200,000",,,,,Basic
CANASTOTA CSD,250901060000,CANASTOTA CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
CANASTOTA CSD,250901060005,ROBERTS STREET MIDDLE SCHOOL,,"$200,000",,,,,Basic
CATSKILL CSD,190401060000,CATSKILL CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
CATSKILL CSD,190401060007,CATSKILL MIDDLE SCHOOL,,,"$50,000",,,,Basic
CENTER MORICHES UFSD,580233020000,CENTER MORICHES UFSD,"$50,000",,,,,,Basic
CENTER MORICHES UFSD,580233020002,CENTER MORICHES MIDDLE SCHOOL,,,"$50,000",,,,Basic
CENTRAL ISLIP UFSD,580513030000,CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,"$50,000",,,,,,Basic
CENTRAL ISLIP UFSD,580513030001,CORDELLO AVENUE ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
CENTRAL ISLIP UFSD,580513030008,RALPH REED SCHOOL,,"$200,000",,,,,Basic
CENTRAL SQUARE CSD,460801060000,CENTRAL SQUARE CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
CENTRAL SQUARE CSD,460801060008,CENTRAL SQUARE MIDDLE SCHOOL,,"$200,000",,,,,Basic
CENTRAL VALLEY CSD AT ILION-MOHAWK,212101040000,CENTRAL VALLEY CSD AT ILION-MOHAWK,"$50,000",,,,,,Basic
CENTRAL VALLEY CSD AT ILION-MOHAWK,212101040001,GREGORY B JARVIS MIDDLE SCHOOL,,,"$50,000",,,,Basic
CENTRAL VALLEY CSD AT ILION-MOHAWK,212101040005,CENTRAL VALLEY ACADEMY,,,"$50,000",,,,Basic
CHARLOTTE VALLEY CSD,120401040000,CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
CHARLOTTE VALLEY CSD,120401040001,CHARLOTTE VALLEY SCHOOL,,"$200,000",,,,,Basic
CHATEAUGAY CSD,160801040000,CHATEAUGAY CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
CHATEAUGAY CSD,160801040001,CHATEAUGAY ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
CHATEAUGAY CSD,160801040002,CHATEAUGAY HIGH SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
CHEEKTOWAGA CSD,140701060000,CHEEKTOWAGA CSD,"$50,000",,,,,,Basic
CHEEKTOWAGA CSD,140701060004,UNION EAST ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
CHEEKTOWAGA CSD,140701060007,CHEEKTOWAGA MIDDLE SCHOOL,,,"$50,000",,,,Basic
CHEEKTOWAGA-MARYVALE UFSD,140702030000,CHEEKTOWAGA-MARYVALE UFSD,"$50,000",,,,,,Basic
CHEEKTOWAGA-MARYVALE UFSD,140702030004,MARYVALE INTERMEDIATE SCHOOL,,,"$50,000",,,,Basic
CHEEKTOWAGA-SLOAN UFSD,140709030000,CHEEKTOWAGA-SLOAN UFSD,"$50,000",,,,,,Basic
CHEEKTOWAGA-SLOAN UFSD,140709030003,JOHN F KENNEDY MIDDLE SCHOOL,,,"$50,000",,,,Basic
CLINTON CSD,411101060000,CLINTON CSD,"$50,000",,,,,,Basic
CLINTON CSD,411101060004,CLINTON MIDDLE SCHOOL,,,"$50,000",,,,Basic
COHOES CITY SD,010500010000,COHOES CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
COHOES CITY SD,010500010005,ABRAM LANSING SCHOOL,,,"$50,000",,,,Basic
CORNING CITY SD,571000010000,CORNING CITY SD,"$50,000",,,,,,Basic
CORNING CITY SD,571000010020,CORNING-PAINTED POST MIDDLE SCHOOL,,,"$50,000",,,,Basic
CORTLAND CITY SD,110200010000,CORTLAND CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
COXSACKIE-ATHENS CSD,190501040000,COXSACKIE-ATHENS CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
COXSACKIE-ATHENS CSD,190501040004,COXSACKIE-ATHENS MIDDLE SCHOOL,,"$200,000",,,"$20,000",,Developing a Restorative School & Basic
DOLGEVILLE CSD,211003040000,DOLGEVILLE CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
DOLGEVILLE CSD,211003040004,DOLGEVILLE MIDDLE SCHOOL,,"$200,000",,,,,Basic
DRYDEN CSD,610301060000,DRYDEN CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
DUNDEE CSD,680801040000,DUNDEE CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
DUNDEE CSD,680801040001,DUNDEE JUNIOR-SENIOR HIGH SCHOOL,,"$200,000",,,,,Basic
DUNKIRK CITY SD,060800010000,DUNKIRK CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
DUNKIRK CITY SD,060800010010,DUNKIRK MIDDLE SCHOOL,,,"$50,000",,,,Basic
EAST ISLIP UFSD,580503030000,EAST ISLIP UFSD,"$50,000",,,,,,Basic
EAST ISLIP UFSD,580503030008,EAST ISLIP MIDDLE SCHOOL,,,"$50,000",,,,Basic
EAST RAMAPO CSD ,500402060000,EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),"$50,000",,,,,,Basic
EAST RAMAPO CSD,500402060014,SPRING VALLEY HIGH SCHOOL,,,"$50,000",,,,Basic
EAST RAMAPO CSD,500402060018,RAMAPO HIGH SCHOOL,,,"$50,000",,,,Basic
EAST SYRACUSE-MINOA CSD,420401060000,EAST SYRACUSE-MINOA CSD,"$50,000",,,,,,Basic
EAST SYRACUSE-MINOA CSD,420401060010,PINE GROVE MIDDLE SCHOOL,,,"$50,000",,,,Basic
EASTPORT-SOUTH MANOR CSD,580912060000,EASTPORT-SOUTH MANOR CSD,"$50,000",,,,,,Basic
ELDRED CSD,590801040000,ELDRED CSD,"$50,000",,,,,,Basic
ELDRED CSD,590801040001,ELDRED JUNIOR-SENIOR HIGH SCHOOL,,,"$50,000",,,,Basic
ELLENVILLE CSD,622002060000,ELLENVILLE CSD,"$50,000",,,,,,Basic
ELLENVILLE CSD,622002060005,ELLENVILLE MIDDLE SCHOOL,,,"$50,000",,,,Basic
ELMIRA CITY SD,070600010000,ELMIRA CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
ELMIRA CITY SD,070600010006,DIVEN SCHOOL,,,"$50,000",,,,Basic
ELMIRA CITY SD,070600010007,FASSETT ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
ELMIRA CITY SD,070600010013,PARLEY COBURN SCHOOL,,,"$50,000",,,,Basic
ELMIRA CITY SD,070600010016,THOMAS K BEECHER SCHOOL,,"$200,000",,,,,Basic
ELMIRA CITY SD,070600010020,ELMIRA HIGH SCHOOL,,,"$50,000",,,,Basic
ELMIRA CITY SD,070600010021,ERNIE DAVIS ACADEMY,,,"$75,000",,,,Basic
ELMIRA HEIGHTS CSD,070902060000,ELMIRA HEIGHTS CSD,"$50,000",,,,,,Basic
ELMIRA HEIGHTS CSD,070902060004,COHEN MIDDLE SCHOOL,,,"$50,000",,,,Basic
ELMSFORD UFSD,660409020000,ELMSFORD UNION FREE SCHOOL DISTRICT,"$50,000",,,,,,Basic
ELMSFORD UFSD,660409020003,ALEXANDER HAMILTON HIGH SCHOOL,,"$200,000",,,"$20,000",,Developing a Restorative School & Basic
EVANS-BRANT CSD (LAKE SHORE),141401060000,EVANS-BRANT CSD (LAKE SHORE),"$50,000",,,,,,Basic
FALLSBURG CSD,590501060000,FALLSBURG CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
FALLSBURG CSD,590501060002,FALLSBURG JUNIOR SENIOR HIGH SCHOOL,,"$200,000",,,,,Basic
FARMINGDALE UFSD,280522030000,FARMINGDALE UNION FREE SCHOOL DISTRICT,"$50,000",,,,,,Basic
FARMINGDALE UFSD,280522030004,NORTHSIDE ELEMENTARY SCHOOL,,"$200,000",,,"$20,000",,Developing a Restorative School & Basic
FARMINGDALE UFSD,280522030008,HOWITT SCHOOL,,,"$50,000",,,,Basic
FORT EDWARD UFSD,640601020000,FORT EDWARD UFSD,"$50,000",,,,,,Basic
FRANKFORT-SCHUYLER CSD,210402060000,FRANKFORT-SCHUYLER CSD,"$50,000",,,,,,Basic
FRANKFORT-SCHUYLER CSD,210402060003,FRANKFORT-SCHUYLER ELEMENTARY,,,"$50,000",,,,Basic
FREDONIA CSD,062201060000,FREDONIA CSD,"$50,000",,,,,,Basic
FREDONIA CSD,062201060002,FREDONIA MIDDLE SCHOOL,,,"$50,000",,,,Basic
FULTON CITY SD,460500010000,FULTON CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
GANANDA CSD,650902040000,GANANDA CSD,"$50,000",,,,,,Basic
GANANDA CSD,650902040003,GANANDA MIDDLE SCHOOL,,,"$50,000",,,,Basic
GENEVA CITY SD,430700010000,GENEVA CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
GENEVA CITY SD,430700010002,NORTH STREET ELEMENTARY SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
GENEVA CITY SD,430700010005,GENEVA MIDDLE SCHOOL,,"$200,000",,,,,Basic
GILBOA-CONESVILLE CSD,540801040000,GILBOA-CONESVILLE CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
GILBOA-CONESVILLE CSD,540801040001,GILBOA-CONESVILLE CENTRAL SCHOOL,,"$200,000",,,,,Basic
GLOVERSVILLE CITY SD,170500010000,GLOVERSVILLE CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
GLOVERSVILLE CITY SD,170500010007,PARK TERRACE SCHOOL,,,"$50,000",,,,Basic
GLOVERSVILLE CITY SD,170500010008,GLOVERSVILLE MIDDLE SCHOOL,,"$200,000",,,,,Basic
GLOVERSVILLE CITY SD,170500010009,GLOVERSVILLE HIGH SCHOOL,,,"$50,000",,,,Basic
GOWANDA CSD,042801060000,GOWANDA CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
GREECE CSD,260501060000,GREECE CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
GREECE CSD,260501060002,LONGRIDGE SCHOOL,,"$200,000",,,"$10,000",,Instructional Coaching Consortium & Basic
GREECE CSD,260501060008,OLYMPIA HIGH SCHOOL,,,"$75,000",,,,Basic
GREECE CSD,260501060011,LAKESHORE ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
GREECE CSD,260501060015,CRAIG HILL ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
GREEN ISLAND UFSD,010701030000,GREEN ISLAND UNION FREE SCHOOL DISTRICT,"$50,000",,,,,,Basic
GREEN ISLAND UFSD,010701030001,HEATLY SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
GREENBURGH CSD,660407060000,GREENBURGH CSD,"$50,000",,,,,,Basic
GREENPORT UFSD,581010020000,GREENPORT UNION FREE SCHOOL DISTRICT,"$50,000",,,,,,Basic
GREENPORT UFSD,581010020001,GREENPORT HIGH SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
GREENPORT UFSD,581010020002,GREENPORT ELEMENTARY SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
GREENVILLE CSD,190701040000,GREENVILLE CSD,"$50,000",,,,,,Basic
GREENVILLE CSD,190701040001,GREENVILLE MIDDLE SCHOOL,,,"$50,000",,,,Basic
GROTON CSD,610501040000,GROTON CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
GROTON CSD,610501040001,GROTON JUNIOR/SENIOR HIGH SCHOOL,,"$200,000",,,"$10,000",,Leveraging Digital Learning & Basic
HADLEY-LUZERNE CSD,630801040000,HADLEY-LUZERNE CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
HADLEY-LUZERNE CSD,630801040001,HADLEY-LUZERNE HIGH SCHOOL,,"$200,000",,,,,Basic
HARPURSVILLE CSD,030501040000,HARPURSVILLE CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
HARPURSVILLE CSD,030501040001,W A OLMSTED ELEMENTARY SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
HAVERSTRAW-STONY POINT CSD,500201060000,HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),"$50,000",,,,,,Basic
HAVERSTRAW-STONY POINT CSD,500201060008,JAMES A FARLEY ELEMENTARY SCHOOL,,"$200,000",,,"$35,000",,Enhancing Principal Leadership Yr 2 & Basic
HAVERSTRAW-STONY POINT CSD ,500201060012,WEST HAVERSTRAW ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
HAVERSTRAW-STONY POINT CSD ,500201060013,FIELDSTONE MIDDLE SCHOOL,,,"$50,000",,,,Basic
HEMPSTEAD UFSD,280201030000,HEMPSTEAD UNION FREE SCHOOL DISTRICT,"$50,000",,,,,,Basic
HEMPSTEAD UFSD,280201030001,JOSEPH MCNEIL (FRANKLIN) SCHOOL,,,"$50,000",,,,Basic
HEMPSTEAD UFSD,280201030007,HEMPSTEAD HIGH SCHOOL,,"$200,000",,"$150,000",,,Targeted & Basic
HEMPSTEAD UFSD,280201030009,JACKSON ANNEX SCHOOL,,,"$50,000",,,,Basic
HEMPSTEAD UFSD,280201030010,ALVERTA B GRAY SCHULTZ MIDDLE SCHOOL,,"$200,000",,"$150,000",,,Targeted & Basic
HENDRICK HUDSON CSD,660203060000,HENDRICK HUDSON CSD,"$50,000",,,,,,Basic
HENDRICK HUDSON CSD,660203060008,BUCHANAN-VERPLANCK ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
HERMON-DEKALB CSD,511301040000,HERMON-DEKALB CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
HICKSVILLE UFSD,280517030000,HICKSVILLE UFSD,"$50,000",,,,,,Basic
HICKSVILLE UFSD,280517030004,FORK LANE SCHOOL,,,"$50,000",,,,Basic
HIGHLAND CSD,620803040000,HIGHLAND CSD,"$50,000",,,,,,Basic
HIGHLAND CSD,620803040001,HIGHLAND ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
HIGHLAND CSD,620803040003,HIGHLAND MIDDLE SCHOOL,,,"$50,000",,,,Basic
HOLLEY CSD,450704040000,HOLLEY CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
HOLLEY CSD,450704040001,HOLLEY JUNIOR SENIOR HIGH SCHOOL,,"$200,000",,,"$10,000",,Leveraging Digital Learning & Basic
HOMER CSD,110701060000,HOMER CSD,"$50,000",,,,,,Basic
HOMER CSD,110701060003,HOMER INTERMEDIATE SCHOOL,,,"$50,000",,,,Basic
HORSEHEADS CSD,070901060000,HORSEHEADS CSD,"$50,000",,,,,,Basic
HUDSON FALLS CSD,641301060000,HUDSON FALLS CSD,"$50,000",,,,,,Basic
HUNTINGTON UFSD,580403030000,HUNTINGTON UFSD,"$50,000",,,,,,Basic
HUNTINGTON UFSD,580403030014,J TAYLOR FINLEY MIDDLE SCHOOL,,,"$50,000",,,,Basic
HYDE PARK CSD,130801060000,HYDE PARK CSD,"$50,000",,,,,,Basic
HYDE PARK CSD,130801060006,HAVILAND MIDDLE SCHOOL,,,"$75,000",,,,Basic
ISLIP UFSD,580502020000,ISLIP UFSD,"$50,000",,,,,,Basic
ISLIP UFSD,580502020002,COMMACK ROAD ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
ISLIP UFSD,580502020005,MAUD S SHERWOOD ELEMENTARY SCHOOL,,,"$50,000",,,,Basic
JAMESTOWN CITY SD,061700010000,JAMESTOWN CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
JAMESTOWN CITY SD,061700010001,CARLYLE C RING ELEMENTARY SCHOOL,,,"$75,000",,,,Basic
JAMESTOWN CITY SD,061700010010,THOMAS JEFFERSON MIDDLE SCHOOL,,,"$50,000",,,,Basic
JAMESTOWN CITY SD,061700010012,GEORGE WASHINGTON MIDDLE SCHOOL,,,"$50,000",,,,Basic
JASPER-TROUPSBURG CSD,572702040000,JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
JASPER-TROUPSBURG CSD,572702040002,JASPER-TROUPSBURG JUNIOR-SENIOR HIGH SCHOOL,,"$200,000",,,,,Basic
JEFFERSON CSD,540901040000,JEFFERSON CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
JEFFERSON CSD,540901040001,JEFFERSON CENTRAL SCHOOL,,,"$50,000",,,,Basic
JOHNSON CITY CSD,031502060000,JOHNSON CITY CENTRAL SCHOOL DISTRICT,"$50,000",,,,,,Basic
JOHNSON CITY CSD,031502060001,JOHNSON CITY ELEMENTARY/INTERMEDIATE SCHOOL,,,"$50,000",,,,Basic
JOHNSTOWN CITY SD,170600010000,JOHNSTOWN CITY SD,"$50,000",,,,,,Basic
JOHNSTOWN CITY SD,170600010006,JOHNSTOWN HIGH SCHOOL,,,"$50,000",,,,Basic
KINGSTON CITY SD,620600010000,KINGSTON CITY SCHOOL DISTRICT,"$50,000",,,,,,Basic
